uuid,ml,ap,dv
fabd38c8-3979-450c-b383-54f40ec5fc64,2776,8074,6416
,,,
104daf37-1d43-4ad4-aa22-a096e7b04824,2776,8074,6395
,,,
0ea31a2a-1e6c-4201-b873-bb4380824972,2776,8074,6395
,,,
71a5e107-34a1-4bcf-b58e-dff1a26b34d9,2776,8074,6374
,,,
7db5d771-c75c-4d6f-99b6-a9f7909cb794,2776,8074,6374
,,,
b0e8fdc0-afa1-47ac-8247-e919f01e29a8,2776,8074,6353
,,,
54e0b440-2f82-4fae-9274-dc85fa78b6d5,2776,8074,6332
,,,
192e6d59-1608-4124-9c0c-f8553ce2b8b3,2776,8074,6332
,,,
97570708-e3ae-443b-95a0-8a4bbfe52cfb,2776,8074,6311
,,,
d8aef94f-18a0-4f35-9817-5b0deac81ce1,2776,8074,6311
,,,
e266d4f7-1cc2-4092-9cb6-78be24bfd3f4,2776,8074,6311
,,,
ddb3e2a6-ec62-4897-ac3b-ca9bf65a4f50,2776,8074,6269
,,,
d184f853-80df-448b-8044-d25f248f7602,2776,8074,6269
,,,
06165738-3bc8-460a-8bfd-6485da69654c,2776,8074,6248
,,,
72279e0f-3a01-4d0e-bd8d-ea3717629986,2776,8074,6248
,,,
b2edb724-0991-4dd7-8ea5-32dde8ebd6ec,2776,8074,6227
,,,
56011d30-705e-458b-8379-13f36d7a0bda,2791,8060,6167
,,,
8f89f259-6047-4ed7-800f-6793552840ed,2786,8065,6187
,,,
e649ff30-322d-4080-bf48-34b43e93be4d,2786,8065,6187
,,,
6355991a-4f9a-464b-b8bb-ded8550bb8a6,2791,8060,6167
,,,
3fd0e216-7bb6-439a-b090-7a058d9b3102,2796,8055,6147
,,,
7ca3f126-09d7-4307-b036-66b411da5e62,2796,8055,6147
,,,
98c699ea-8fb5-4007-91fc-b2d91ed431f9,2796,8055,6147
,,,
83a633dd-8460-493d-9ada-6225ebfbe1fa,2800,8050,6128
,,,
01fe70c1-d51e-497e-ba29-d719cf8fa33c,2800,8050,6128
,,,
13b65595-1128-4713-aba3-f1e08c3dcabf,2800,8050,6128
,,,
e7b5df91-6414-4ed0-bdb7-d489f98c2866,2801,8042,6109
,,,
2d50b707-ecb7-4d4f-83e0-bd461505f63c,2801,8033,6090
,,,
02978c16-f093-4fc6-bf1f-4a3494d91d72,2801,8023,6071
,,,
1f0a8ce8-8587-434c-8d14-638988de565d,2801,8014,6052
,,,
89567bd2-384c-4a87-828a-f64e2ac83876,2801,8004,6033
,,,
44cf61dc-6494-4e7b-a5a4-1c9aca3f3909,2804,7997,6014
,,,
3e32b53f-a502-4351-95a3-ce18ee65afcd,2804,7997,6014
,,,
d932db99-eddc-4e78-8bce-0bf59b66b42c,2809,7992,5994
,,,
6157dd7e-d6fb-406c-9980-5b2e456193f7,2824,7977,5935
,,,
e34c7608-b2ee-478b-8a4c-c85cf8d9716e,2850,7928,5832
,,,
4339ce45-ba8a-42b3-be16-57a5f675b00b,2837,7928,5682
,,,
933ac08b-bf6a-4cbb-9176-57703a18a38b,2848,7906,5639
,,,
921dba07-b6d4-4c68-a025-505e4d1f38bb,2843,7899,5592
,,,
bad78642-06bb-45ba-8933-99e2217ad14a,2826,7895,5512
,,,
a815a277-7393-4efa-874d-45df748e4138,2826,7892,5496
,,,
c9aef915-9929-443d-9bda-625969c2a6ef,2826,7872,5415
,,,
d8d091c9-966e-4816-8c8f-dc509f5d8fe2,2826,7856,5351
,,,
30ce2272-4fd9-4262-b197-ef5d108dd393,2791,7484,3266
,,,
bb5326a3-48b2-4152-9d22-7cb9360d2341,2776,8074,6564
,,,
388c8fd5-bb55-423e-adb0-f94fd91af8d8,2776,8074,6501
,,,
830cb246-38f7-4270-a483-df9fe46baadc,2776,8074,6311
,,,
98ac78c8-90f4-4cc6-8563-101232eb16e6,2791,8060,6167
,,,
46ee639e-f34e-4452-99da-6f4c7160c786,2801,7474,3226
,,,
bac0b051-7d66-4dd0-a6c8-fd499222e8a9,3703,9262,4027
,,,
812fff7f-4881-41d6-85f6-d09e78e5b563,3672,9250,3955
,,,
ec0ee0b2-1a72-470f-9aae-d42dfa292606,3605,9200,3389
,,,
424fa818-fa17-4b1c-a879-f1cc025a6945,3601,9183,3312
,,,
24b18201-a660-4092-a01f-717856c04e30,3591,9174,3234
,,,
99672fd7-992c-4e1d-b4b7-2cb1d3c562c3,3537,9160,3020
,,,
749a5602-faa9-4317-981e-154bf89f8ee2,3525,9044,2256
,,,
7684b233-28ff-42bc-9bcb-214c3a67b8ca,3525,9039,2235
,,,
5b6a4141-64b2-483b-a8a4-d65b1d054d18,3525,9034,2213
,,,
9abd0ed6-f559-4d8a-a2be-a4be4b9f61a7,3441,8890,1635
,,,
ac20c148-ad1e-4575-a617-7587fd623336,3408,8856,1537
,,,
a2ab53b4-a75b-41cf-a893-c5215b372cae,3375,8825,1471
,,,
586de77e-c4d8-4dd2-b708-4aa3985a7578,3347,8820,1355
,,,
dda7f7c2-a3d2-4d86-bdc7-b7bb0e117441,3391,8840,1504
,,,
6551da8f-39fa-4214-9f75-da440fe84b6f,3351,7169,6034
,,,
ae91e293-c082-4c93-bcd4-dff5ea254f40,3351,7163,5998
,,,
2f7bd983-95e6-42d5-8225-8851d7421178,3351,7160,5979
,,,
4d4524ff-62b8-45d6-aa2d-9e48eea45c8c,3351,7151,5925
,,,
f4c904f8-9ea7-49bb-86ee-ef1f6ead975f,3351,7148,5907
,,,
50df5c04-45a8-413e-91c7-a9fafc1b5c04,3351,7139,5852
,,,
c3ccc9df-bdeb-4492-b00c-9fa63d7c249b,3351,7136,5834
,,,
0685ec4c-dcb2-45c4-9439-4eac50d00369,3351,7130,5797
,,,
2520a7de-38a9-4250-a49d-6d102fe9a191,3351,7121,5742
,,,
40d21c6a-e6af-4caa-8da0-cc2f1394ad19,3351,7112,5688
,,,
63b54c66-d16a-400c-8362-55d30e02d847,3351,7112,5688
,,,
ece7ee67-4f8d-4ff5-96c5-c6b6d859c6b3,3351,7106,5651
,,,
a7a62d60-317f-461d-9793-1b3b286bc8c2,3351,7103,5633
,,,
9bafb3df-7ae3-4f25-a738-f904cb10eea3,3351,7106,5651
,,,
6f97ec83-a8b6-43ed-b1cb-bb7afae8a9c0,3351,7081,5499
,,,
8b607a5f-bd71-4fa8-9429-ca6d3a8db7bd,3351,7075,5459
,,,
9fc61da6-a5fd-4490-91e0-86842894d2fa,3351,7072,5439
,,,
5e826d08-bbe2-4bd5-9e4f-925f45187156,3351,7072,5439
,,,
ecd928be-c28a-4887-9e1a-c4ac56444c44,3351,7068,5419
,,,
bcc89889-baa7-455a-b7d5-03165044c94b,3351,7055,5339
,,,
fcf964e0-c914-42a0-98a3-62407695e1c5,3375,7019,5206
,,,
85ff503c-b521-425e-94b2-b53b7cdfd68f,3375,7014,5187
,,,
15834f6a-7bc7-447c-86ae-278f72b35ba0,3375,7014,5187
,,,
21a0fc18-8764-4638-8ac2-b8948935df93,3375,7014,5187
,,,
0b27edab-71da-4e99-ade3-0afff3080c3d,3375,7004,5148
,,,
4ad5244d-7977-48f4-b7cc-5945f1a0bf2d,3375,6999,5108
,,,
acd0b28a-84df-41fc-b168-bd190242db58,3375,6999,5088
,,,
849b5d04-8a2d-401a-a3f1-389682489b8a,3375,6999,5027
,,,
06cbda57-b1ff-4197-8f3d-48f062610b9d,3375,6989,5009
,,,
f5848823-e28b-44fa-85c7-6e7c00bde85d,3375,6969,4974
,,,
384b17e2-ec5d-4a0d-9cb2-ea023ac1247c,3375,6958,4957
,,,
d36e683f-af68-433b-9221-13bb3c11905b,3375,6927,4904
,,,
898556b8-63b1-48ff-a156-9fd6c227abc3,3378,6925,4885
,,,
e7fca8d5-55dc-4c99-8a65-4da3f1b1b575,3387,6925,4846
,,,
ef9a4543-30f5-47e2-949e-b5d70ab3e226,3399,6925,4786
,,,
4021fdf5-e319-4469-b465-f37cda01a135,3351,6858,4430
,,,
799d6fe6-b4a2-4594-8d23-55fc5c5e1749,3351,6852,4395
,,,
521d1eae-5f30-4e3a-b2b8-1629ba5113a5,3351,6852,4395
,,,
cf6e395f-d1e0-42d2-b336-deedcd96c6c5,3351,6841,4325
,,,
b2a3db70-40d7-4067-aa35-ad26de787b52,3351,6841,4325
,,,
0be9fc0d-02f7-42f4-8f30-1bd97d49f377,3351,6841,4325
,,,
cf9f1d1b-565c-4cfa-9dee-c3e3f4a5402f,3351,6841,4325
,,,
d80f825a-a0b5-41a0-a8c3-81b778737bb3,3351,6841,4325
,,,
f893d42b-ae36-44f3-9de4-152216f2b308,3351,6830,4256
,,,
9a29ffa9-c7d1-4994-ae56-6f3cd0e8e3e7,3351,6827,4238
,,,
29322c5b-9d79-4fae-bdfa-034d41b1f361,3351,6825,4186
,,,
f0776819-23db-4c1d-bdf0-c96f3a9995e9,3351,6825,4186
,,,
e5f16f47-84b5-4b2d-b736-b99217af2a0a,3351,6825,4186
,,,
399e9d90-370a-48f7-9365-efdd85bbd707,3351,6825,4186
,,,
6e9305fe-b785-46d5-84b3-730e503da170,3351,6825,4186
,,,
702bb105-e8f2-4b6c-96b2-e08682e08e6b,3351,6825,4186
,,,
